,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Sparsity
0,OLS_sklearn,1.4466,0.4466,0.0839,0.2815,0.5321,1.1034,0.664,1.0
1,OLS_Strict,1.5252,0.5252,0.0748,0.2695,0.5921,1.0564,0.49,1.0
2,OLS_Safe,1.5252,0.5252,0.0748,0.2695,0.5921,1.0564,0.49,1.0
3,Lasso,1.4412,0.4412,0.0857,0.2844,0.5293,1.115,0.672,1.0
4,Ridge,1.4789,0.4789,0.0823,0.2835,0.5581,1.1113,0.62,1.0
5,ElasticNet,1.4855,0.4855,0.0821,0.2841,0.5637,1.1137,0.616,1.0
6,FusedLasso,1.4726,0.4726,0.0869,0.2893,0.5569,1.1341,0.638,1.0
7,RF,1.6055,0.6055,0.08,0.3,0.6682,1.176,0.48,1.0
8,ExtraTrees,1.6056,0.6056,0.08,0.2999,0.6683,1.1755,0.49,1.0
9,HonestForest,2.0271,1.0271,0.0987,0.3888,1.074,1.5242,0.226,1.0
10,GB,1.4305,0.4305,0.0887,0.2875,0.5233,1.1271,0.692,1.0
11,CatBoost,1.4596,0.4596,0.0862,0.2882,0.5452,1.1296,0.66,1.0
12,XGBoost,1.4619,0.4619,0.083,0.2828,0.5442,1.1085,0.638,1.0
13,KRR_RBF,1.4935,0.4935,0.0817,0.2846,0.5702,1.1157,0.606,1.0
14,SVR_RBF,1.4984,0.4984,0.0837,0.2863,0.5761,1.1221,0.606,1.0
15,NeuralNet,1.4877,0.4877,0.0893,0.2954,0.5718,1.158,0.634,1.0
