,Learner,Mean,Bias,Variance,Mean_SD_Err,RMSE,CI_Width,Coverage,Dimensionality
1,OLS_Strict,1.4298,0.4298,0.0576,0.2463,0.4922,0.9654,0.57,0.45
2,OLS_Safe,1.4298,0.4298,0.0576,0.2463,0.4922,0.9654,0.57,0.45
3,Lasso,1.3757,0.3757,0.058,0.2523,0.4462,0.9891,0.676,0.45
4,Ridge,1.4096,0.4096,0.0551,0.2544,0.472,0.9972,0.624,0.45
5,ElasticNet,1.3951,0.3951,0.056,0.253,0.4604,0.9917,0.642,0.45
6,FusedLasso,1.3625,0.3625,0.0573,0.2491,0.4343,0.9766,0.692,0.45
7,RF,1.4457,0.4457,0.0544,0.2613,0.503,1.0242,0.588,0.45
8,ExtraTrees,1.4474,0.4474,0.0537,0.2608,0.5038,1.0222,0.578,0.45
9,HonestForest,1.7297,0.7297,0.0603,0.3248,0.7698,1.2732,0.366,0.45
10,GB,1.3679,0.3679,0.0595,0.2541,0.4413,0.996,0.688,0.45
11,CatBoost,1.387,0.387,0.0579,0.2553,0.4556,1.0006,0.66,0.45
12,XGBoost,1.3726,0.3726,0.0574,0.2507,0.4429,0.9826,0.668,0.45
13,KRR_RBF,1.4174,0.4174,0.0543,0.2519,0.4779,0.9875,0.606,0.45
14,SVR_RBF,1.4462,0.4462,0.0541,0.2598,0.5031,1.0183,0.578,0.45
15,NeuralNet,1.3614,0.3614,0.0609,0.2569,0.4375,1.0072,0.708,0.45
0,OLS_sklearn,1.3823,0.3823,0.072,0.2514,0.4669,0.9856,0.668,0.5
1,OLS_Strict,1.4717,0.4717,0.0692,0.2499,0.5399,0.9795,0.536,0.5
2,OLS_Safe,1.4717,0.4717,0.0692,0.2499,0.5399,0.9795,0.536,0.5
3,Lasso,1.4512,0.4512,0.0697,0.2577,0.5226,1.01,0.622,0.5
4,Ridge,1.4502,0.4502,0.0683,0.2569,0.5205,1.0069,0.62,0.5
5,ElasticNet,1.4364,0.4364,0.069,0.2555,0.5093,1.0015,0.632,0.5
6,FusedLasso,1.4019,0.4019,0.07,0.2521,0.481,0.9883,0.646,0.5
7,RF,1.4894,0.4894,0.0675,0.263,0.554,1.0311,0.58,0.5
8,ExtraTrees,1.4889,0.4889,0.0683,0.2654,0.5543,1.0403,0.584,0.5
9,HonestForest,1.7504,0.7504,0.0751,0.3213,0.7988,1.2595,0.334,0.5
10,GB,1.4335,0.4335,0.071,0.2584,0.5087,1.0128,0.634,0.5
11,CatBoost,1.4202,0.4202,0.0708,0.2564,0.4972,1.0053,0.644,0.5
12,XGBoost,1.4299,0.4299,0.0702,0.2564,0.5049,1.0052,0.64,0.5
13,KRR_RBF,1.4577,0.4577,0.0674,0.2545,0.5261,0.9977,0.592,0.5
14,SVR_RBF,1.4488,0.4488,0.0694,0.2572,0.5203,1.0084,0.622,0.5
15,NeuralNet,1.3965,0.3965,0.0735,0.2571,0.4802,1.008,0.662,0.5
